product,metal,width,optical_code,height_40,height_70,height_110,height_200,timestamp_first,timestamp_last,optical_code_Encoded,optical_code_numerical_only,optical_code_numerical_only_Encoded,colorimetrie,transparency,teinte,colorimetrie_Encoded,transparency_Encoded,teinte_Encoded,longeur_mm,height,height_encoded
bouteille_b,False,50,W007007,True,True,True,False,2024-11-14 14:43:12.806718,2024-11-14 14:43:12.830720,3480.0,007007,50.0,W,007,007,0,7.0,7.0,53.34,"[110, 200]",4
dechet,False,88,T055084,True,True,False,False,2024-11-14 14:54:05.926735,2024-11-14 14:54:05.956213,3195.0,055084,1974.0,T,055,084,1,55.0,84.0,65.51,"[70, 110]",3
bouteille_t,False,67,T061084,True,True,True,True,2024-11-14 14:48:32.643863,2024-11-14 14:48:32.672328,3299.0,061084,2277.0,T,061,084,1,61.0,84.0,63.26,>= 200,5
yaourt,False,50,W048011,True,False,False,False,2024-11-14 14:47:55.702283,2024-11-14 14:47:55.727719,3959.0,048011,1581.0,W,048,011,0,48.0,11.0,56.52,"[40, 70]",2
carton_grand,False,5,B086012,True,True,True,False,2024-11-14 14:53:25.071431,2024-11-14 14:53:25.210207,1704.0,086012,3013.0,B,086,012,2,86.0,12.0,308.39,"[110, 200]",4
conserve,True,119,S049006,True,True,True,False,2024-11-14 14:42:15.712941,2024-11-14 14:42:15.755216,2559.0,049006,1636.0,S,049,006,3,49.0,6.0,93.94,"[110, 200]",4
journal,False,313,B046051,False,False,False,False,2024-11-14 14:44:34.782358,2024-11-14 14:44:34.926567,629.0,046051,1492.0,B,046,051,2,46.0,51.0,320.46,"[0, 40]",1
dechet,False,209,B082007,False,False,False,False,2024-11-14 14:55:16.760198,2024-11-14 14:55:16.852951,1615.0,082007,2917.0,B,082,007,2,82.0,7.0,206.12,"[0, 40]",1
bouteille_b,False,177,W014005,True,False,False,False,2024-11-14 14:56:05.434164,2024-11-14 14:56:05.474860,3552.0,014005,169.0,W,014,005,0,14.0,5.0,90.44,"[40, 70]",2
canette,True,57,S028004,True,False,False,False,2024-11-14 14:54:39.883193,2024-11-14 14:54:39.914102,2421.0,028004,592.0,S,028,004,3,28.0,4.0,68.69,"[40, 70]",2
yaourt,False,67,W021008,True,False,False,False,2024-11-14 14:46:58.234461,2024-11-14 14:46:58.272236,3605.0,021008,362.0,W,021,008,0,21.0,8.0,83.94,"[40, 70]",2
bouteille_b,False,48,W009004,True,True,False,False,2024-11-14 14:48:39.106066,2024-11-14 14:48:39.182976,3497.0,009004,74.0,W,009,004,0,9.0,4.0,170.91,"[70, 110]",3
bouteille_b,False,32,W007003,True,True,True,False,2024-11-14 14:57:00.690505,2024-11-14 14:57:00.712537,3476.0,007003,46.0,W,007,003,0,7.0,3.0,48.96,"[110, 200]",4
yaourt,False,50,W040011,True,True,False,False,2024-11-14 14:54:17.402374,2024-11-14 14:54:17.423422,3857.0,040011,1153.0,W,040,011,0,40.0,11.0,46.77,"[70, 110]",3
bouteille_b,False,154,W008007,True,False,False,False,2024-11-14 14:50:03.819519,2024-11-14 14:50:03.842441,3489.0,008007,62.0,W,008,007,0,8.0,7.0,50.94,"[40, 70]",2
journal,False,292,B055063,True,True,True,True,2024-11-14 14:49:01.646369,2024-11-14 14:49:01.650128,899.0,055063,1967.0,B,055,063,2,55.0,63.0,8.35,>= 200,5
dechet,False,111,B023037,True,True,False,False,2024-11-14 14:51:01.924516,2024-11-14 14:51:01.970330,188.0,023037,438.0,B,023,037,2,23.0,37.0,101.81,"[70, 110]",3
tetrapak,False,90,B047014,True,False,False,False,2024-11-14 14:53:23.165500,2024-11-14 14:53:23.190945,642.0,047014,1524.0,B,047,014,2,47.0,14.0,56.54,"[40, 70]",2
